,@AfifYulistian,@AlshadAhmad,@Anak.Kuliner,@AquariusMusikindo,@ArisSportTv,@AttaHalilintar,@Audrey-A,@AutonetMagz,@BeemzAryo,@BimbelBrilian,@BoengkoesNetwork,@BrandonKentEverything,@CNBC_ID,@CNNIDOFFICIAL,@CoachJustinl28,@DHIARCOM,@DKIDchannel,@Dewa19,@DuniaBinatangLiar,@Dunia_Alam,@DylandPROS,@FitraEri,@FrontaLGaming,@GadgetGaul,@GadgetIn,@GarasiDrift,@HujanTandaTanya,@IBLTV,@JagatReview,@JessNoLimit,@Judika.Entertainment,@K2G,@KUBILER,@Kenandgrat,@KokBisa,@LuckyHakimChannel,@MILYHYA,@MNCTV_Sports,@MajelisLucu,@MalakaProjectid,@MamankKuliner,@Mas-Wahid,@Melkibajaj,@Miawaug,@MusicaStudios,@NagaswaraOfficial,@NarasiNewsroom,@NexCarlos,@OTOMOTIFTV,@OfficialNoahMusic,@OfficialiNews,@Otodriver,@PANJIPETUALANG_REAL,@PSSITV,@PricebookIndonesia,@RCTISports,@RansEntertainment,@SPOTV.Indonesia,@SPROSULEPRODUCTIONS,@SatuPersenIndonesianLifeschool,@SiKutuBuku,@Sobat_HAPE,@SportsChannelIndonesia,@TirtaPengPengPeng,@TrinityOptimaProduction,@VINDES,@WindahBasudara,@YoutuberCupu,@ZeniusEducation,@ZonaJuaraSports,@amarpdchannel,@ariefmuhammaddd,@carmudiID,@corbuzier,@deHakims,@deHakimsAviaryIrfanHakim,@dennycaknan6996,@farida.nurhan,@felicia.tjiasaka,@indomusikgram,@iwanbanaranblog,@kompastv,@letdahyper,@liputan6_news,@metrotvnews,@motomobitv,@nihongomantappu,@officialbaliunited,@projectreview,@radityadika,@raisa6690,@riasukmawijaya,@ridwanhr,@rrq_lemon,@tanboykun,@taulany_tv,@tempovideochannel,@tribunnews,@tvOneNews,@ybrap
@AfifYulistian,1.0000004,0.24115336,0.03286419,-0.063857354,0.01031277,0.19266553,0.31055808,0.016500425,0.25986648,0.23190132,0.03462286,0.855646,-0.096812636,-0.10987224,-0.15431666,0.3285742,0.31466317,-0.0668026,0.23915544,0.19874102,0.8570061,0.1015167,0.8160709,0.3021987,0.38241613,0.30821288,0.19777048,0.21393296,0.33056444,0.873868,-0.120296076,0.36432084,0.019622223,0.03204873,0.13720393,0.48541975,0.82254434,-0.05546335,0.11365254,0.058351945,0.075074024,0.07138335,0.08624748,0.9033295,-0.11477631,-0.11385475,-0.04500886,0.03572754,0.11743386,-0.056956865,-0.13244492,0.019584453,0.25060982,-0.09187795,0.3127838,-0.020524919,0.06634054,-0.038861573,0.0069217198,0.109513536,0.114514485,0.446218,-0.08485299,0.20899297,-0.08906772,0.034073368,0.80931556,0.2592312,0.1984989,-0.058371738,0.21353589,0.15816061,0.07686328,0.12195723,0.22801939,0.22572696,0.024195738,0.086357966,0.21905044,0.17795193,0.054774266,-0.13547786,0.90921533,-0.14070521,-0.06569003,0.09711674,0.21934816,-0.08634605,0.32213682,0.14774935,-0.112825036,0.03213149,0.07866848,0.8560413,0.025377788,-0.014043456,-0.13056284,-0.14827335,-0.124401,0.38203257
@AlshadAhmad,0.24115336,0.9999999,0.29453307,-0.024897601,0.26635852,0.37301242,0.9390493,-0.010985379,0.96340597,0.096417956,0.2131427,0.05341,0.0004849173,0.07939078,-0.10465335,-0.15594085,-0.13105017,-0.024164438,0.95488715,0.8826967,0.16974787,0.036053322,0.52660245,-0.1678205,-0.100752585,0.16337548,0.26360583,-0.023103954,-0.17689575,0.073563196,-0.012166339,-0.15966636,0.29598868,0.19751225,0.32497358,0.84010726,0.028105292,-0.122349694,0.2912316,0.18787175,0.1964634,0.13960308,0.36155316,0.114706494,-0.030011691,-0.031660505,0.09977622,0.2633316,0.033946924,0.01651441,-0.03872642,-0.020834757,0.95663315,-0.06002728,-0.17021689,-0.09142837,0.5081555,-0.116135746,0.3231064,0.21395507,0.28734812,-0.13582006,-0.13085786,0.37230617,-0.018039558,0.3514068,0.4983838,-0.16240603,0.129822,-0.12636483,0.92375535,0.23788662,0.09827304,0.26021227,0.95218444,0.9556234,0.046109084,0.43151075,0.22823201,0.3385144,0.01515291,0.009426113,0.26392093,-0.010161482,-0.0018810946,0.011564352,0.3684566,-0.0642309,-0.1707745,0.2969731,0.008702997,0.1738446,0.07838769,0.10964385,0.2540015,0.32103327,0.039427392,-0.004302401,-0.015346079,0.11037412
@Anak.Kuliner,0.03286419,0.29453307,1.0,-0.048983544,0.016969774,0.16867867,0.29147458,0.013983678,0.35460466,-0.03307278,0.9822533,-0.11382565,-0.07477616,-0.018664628,-0.08562811,-0.15118933,-0.069568485,-0.025434451,0.18161266,0.10758957,-0.0063617527,0.016422804,0.26454526,-0.12939343,-0.08994718,0.07239945,0.090665445,-0.12774625,-0.14735699,-0.065155625,-0.010789109,-0.15728754,0.98915255,0.980896,0.11401298,0.1805968,-0.10092405,-0.1253648,0.14187118,0.06898296,0.9806962,0.098920606,0.9284425,-0.0149047375,-0.02339838,-0.03867375,-0.07234003,0.9823467,-0.011603233,-0.01711443,-0.11334163,0.00032656034,0.2994157,-0.09744305,-0.1399331,-0.096974544,0.32933265,-0.11831573,0.14715531,0.07320623,0.115566686,-0.15449478,-0.13175333,0.1816703,-0.045686867,0.19904369,0.09789742,-0.13683613,-0.0038475618,-0.1237555,0.29717547,0.19106519,0.09012652,0.0527365,0.25322297,0.24762006,0.044100307,0.9461749,0.09431731,0.2488593,0.010846614,-0.06572717,0.027281616,-0.075244784,-0.0891446,-0.00066847936,0.73213315,-0.102330565,-0.14029683,0.19719821,0.0015912186,0.92395854,0.061042424,-0.058549494,0.98738015,0.14032404,-0.050870128,-0.0704216,-0.078248255,-0.09811409
@AquariusMusikindo,-0.063857354,-0.024897601,-0.048983544,0.99999994,0.021555535,0.32349163,-0.028597482,0.08024572,0.031131074,-0.011306465,-0.054685775,-0.07283348,0.04826709,0.089711756,-0.050132878,-0.06640108,-0.08027903,0.9617142,-0.001479385,-0.022441268,0.100439906,0.08309404,-0.022495555,-0.06551308,-0.07196742,0.088290095,0.10008985,0.0907717,-0.062097713,0.008981073,0.9838094,-0.056108084,-0.03637853,-0.035499662,0.0013037231,0.13793936,0.17619503,-0.103843324,0.23835716,0.09324856,-0.04934217,0.06339033,0.008429873,0.046480972,0.9897835,0.9843831,0.071276814,-0.030581584,-0.035088386,0.97977674,0.09432945,0.08751066,-0.033391282,-0.0048070643,-0.07619221,-0.12066929,0.115106076,-0.09300797,0.13100612,0.077406324,0.054720916,-0.040663294,-0.056603417,0.018774673,0.9942696,0.1923401,0.07551085,-0.040805504,0.12025902,-0.09391917,-0.01263791,0.27297384,0.036222827,0.284948,-0.026548035,-0.021946669,0.9060315,-0.037576124,0.057785198,0.5902586,0.025804894,0.05521967,-0.010503857,0.058429997,0.10490247,0.10757131,-0.061080728,-0.042389378,-0.07774526,0.32124293,0.98462653,0.026061073,0.08224341,-0.017957585,-0.031796217,0.22332808,0.04429623,0.06483477,0.105700955,0.5846903
@ArisSportTv,0.01031277,0.26635852,0.016969774,0.021555535,0.99999976,0.10892489,0.34922972,0.01694586,0.2686131,0.055753138,-0.039489113,0.046914935,0.22641227,0.27071863,0.734599,-0.30073392,-0.30881202,0.1113428,0.25067526,0.23959234,-0.100242436,0.0025957562,0.11247041,-0.29641536,-0.30724657,0.13188806,0.12693343,0.7743671,-0.2878601,0.013993077,0.028412584,-0.29977703,0.026994571,-0.029062077,0.05638605,0.18721384,0.07604295,0.6969813,0.10503668,0.12179276,-0.051978026,0.116784856,0.08106595,0.049634445,0.013730035,0.021281537,0.30120683,-0.039360162,-0.0058715194,0.033980362,0.3096244,0.016236775,0.31722325,0.79590344,-0.30067146,0.7240913,0.1297666,0.7417944,0.11975506,0.11197984,0.14160001,-0.29994118,0.741034,0.21638432,0.027286801,0.2166574,0.12607858,-0.29545224,0.13450393,0.69843185,0.36453617,0.1443463,0.013330404,0.12951209,0.20017266,0.21262649,0.037946373,0.11518879,0.10812004,0.06686498,0.030970227,0.26710275,-0.016712217,0.2455404,0.32444468,-0.028520694,0.02793901,0.81752574,-0.30424148,0.04175118,0.04493507,0.07472783,0.02609099,-0.0040029027,-0.02414186,0.15560548,0.28118107,0.28074867,0.26272073,0.2506656
@AttaHalilintar,0.19266553,0.37301242,0.16867867,0.32349163,0.10892489,1.0,0.2844392,0.04918945,0.35952485,0.26766202,0.17329308,0.16539654,0.19951028,0.28511712,-0.11397029,-0.033657134,-0.02016438,0.32569087,0.2877004,0.2928264,0.45936072,0.14715487,0.37647468,-0.08510962,-0.0055699516,0.18328367,0.43353707,0.09227796,-0.04874725,0.15258966,0.34006625,-0.058358394,0.15562825,0.16259915,0.40158525,0.54442626,0.29822987,-0.23724723,0.9042012,0.44883668,0.15148291,0.083653666,0.17482956,0.2308607,0.3062768,0.30766368,0.2591809,0.22067633,0.057298213,0.35459748,0.20537646,0.05795528,0.23348677,-0.044767495,-0.06926006,-0.2230058,0.887689,-0.20617501,0.89226496,0.38895017,0.35515296,-0.0068759574,-0.18689476,0.62950337,0.36031228,0.9003218,0.5862996,-0.05837544,0.56366503,-0.23644303,0.20227933,0.61495453,0.09714276,0.92714924,0.42514107,0.39136672,0.5981641,0.13369533,0.34016675,0.8422607,0.09887465,0.17606074,0.3561566,0.16648483,0.21166512,0.14888394,0.5971517,-0.13576664,-0.091276765,0.8488893,0.31909055,0.07838851,0.11476636,0.18375045,0.18764597,0.9037454,0.2025839,0.20953314,0.23335671,0.58256257
@Audrey-A,0.31055808,0.9390493,0.29147458,-0.028597482,0.34922972,0.2844392,0.9999999,0.03292267,0.90861374,0.061208826,0.2000911,0.110915735,0.09037483,0.1573725,-0.032093108,-0.16222575,-0.15022844,-0.011269249,0.92066556,0.8749847,0.17469716,0.07594331,0.5222977,-0.1737127,-0.1131374,0.24267435,0.19099823,0.077751055,-0.17737184,0.15494162,-0.026627082,-0.16113631,0.29476297,0.19495612,0.2143861,0.8499084,0.11434993,-0.046311546,0.19371563,0.12155932,0.18898001,0.19947693,0.37496975,0.21389966,-0.041105546,-0.047917645,0.17976099,0.23121066,0.08044359,0.008364385,0.06378262,0.024270717,0.9648336,0.021971066,-0.17209125,-0.019978374,0.37320948,-0.03275705,0.18322915,0.14057778,0.20320287,-0.13436271,-0.051887535,0.31509978,-0.027624404,0.22804144,0.5054112,-0.17235029,0.09342167,-0.05021377,0.96041083,0.22883263,0.12961107,0.17213184,0.8772889,0.89994943,0.019472376,0.45070338,0.18173918,0.25259918,0.04648827,0.11025491,0.29667616,0.08657872,0.11571158,0.045768604,0.28999525,0.013661745,-0.1761009,0.18434168,-0.003698322,0.21598466,0.10874367,0.17043999,0.23488247,0.21404204,0.123801865,0.08819473,0.0840123,0.1516183
@AutonetMagz,0.016500425,-0.010985379,0.013983678,0.08024572,0.01694586,0.04918945,0.03292267,0.99999964,0.03228471,0.03530357,0.034480464,-0.15654387,0.16224559,0.17286927,0.13377802,0.32988375,0.34755254,0.17199975,0.008449761,-0.00035116076,0.03614921,0.97564954,0.1575717,0.30109125,0.31530142,0.9009824,0.0120055955,0.004310554,0.2985199,-0.1375399,0.08788796,0.29986784,0.04918313,0.043878637,0.002548718,0.07128358,-0.12664069,-0.096406,0.09455954,0.06457414,-0.008424234,0.9468344,0.13781188,-0.12467771,0.091684915,0.08030246,0.101619124,0.020601002,0.94273317,0.0935626,0.13240558,0.99754196,0.04026876,0.02718173,0.31076768,-0.10897279,0.064037874,0.025956195,0.041192885,0.058044877,0.021498654,0.27907926,0.019053556,0.079326645,0.09118532,0.038541608,0.09103447,0.37005115,0.007270635,-0.08075798,0.08088863,0.7018531,0.9666761,0.031190641,-0.020639764,-0.029651392,0.10521256,0.009084548,0.07804853,0.028543703,0.96670425,0.1384001,0.10232945,0.1271257,0.17222443,0.980971,-0.046255287,-0.009771371,0.24294189,0.051834244,0.10924727,0.10875392,0.9793999,-0.17511849,0.0028407103,0.07431263,0.15373865,0.11809904,0.14954038,0.2379457
@BeemzAryo,0.25986648,0.96340597,0.35460466,0.031131074,0.2686131,0.35952485,0.90861374,0.03228471,0.99999976,0.12391034,0.27169096,0.04046178,-0.022462942,0.05787896,-0.11962173,-0.16249762,-0.12791596,0.03139675,0.9328532,0.8125611,0.17555979,0.07251613,0.588891,-0.16612285,-0.10108331,0.2203629,0.3168682,-0.038748264,-0.18163255,0.07319702,0.04106258,-0.16304445,0.36209843,0.2626807,0.35875702,0.81685644,0.033602566,-0.14556734,0.26004192,0.21773058,0.26032728,0.19892716,0.4647889,0.1152207,0.025969341,0.02331036,0.088149786,0.32406634,0.058808513,0.07680794,-0.07347329,0.019153621,0.94621456,-0.07659475,-0.17496672,-0.11373993,0.48542166,-0.13618387,0.28116363,0.26029596,0.35058814,-0.14070557,-0.14791942,0.37394333,0.035315745,0.32378623,0.49555546,-0.15990585,0.1254738,-0.14678119,0.92593366,0.28071547,0.15075496,0.2244094,0.89648724,0.8959117,0.08110201,0.514469,0.28539905,0.37671363,0.040420838,-0.022945058,0.26952675,-0.041654225,-0.022734212,0.04848166,0.39658433,-0.077097535,-0.17505673,0.2951089,0.07439766,0.26504552,0.123893365,0.1006867,0.31089175,0.28613698,0.015236713,-0.03936076,-0.05034983,0.13733873
@BimbelBrilian,0.23190132,0.096417956,-0.03307278,-0.011306465,0.055753138,0.26766202,0.061208826,0.03530357,0.12391034,1.0000001,-0.03719797,0.14539991,0.53872967,0.51961553,0.049824946,0.259856,0.2726745,-0.035489745,0.19250524,0.26732698,0.38167655,0.077310085,0.23473224,0.2584133,0.27160558,0.11114837,0.8859823,0.058420487,0.32480818,0.13720146,-0.0037378743,0.25968906,-0.051227633,-0.025503853,0.8643441,0.26889414,0.22774014,-0.024925783,0.3792776,0.8723668,-0.016161127,0.065516174,-0.01586546,0.16184042,-0.016309224,-0.030256383,0.61628497,-0.0154384915,0.05413554,0.008052403,0.40198925,0.056227926,0.021473918,0.15970767,0.2466028,-0.06811169,0.20312217,-0.057025492,0.24477084,0.89307106,0.8541302,0.27070153,-0.024981461,0.73359704,0.00522661,0.32086116,0.38111824,0.25583476,0.82672906,-0.041525006,0.059721615,0.3880006,0.070658594,0.34264338,0.112161696,0.10387814,0.062330518,-0.055712912,0.8910554,0.19863626,-0.010353733,0.4002683,0.25213847,0.4069144,0.4400486,0.07155799,0.37108284,0.026406892,0.2582168,0.45808142,-0.012519132,-0.032040544,0.047388233,0.097617015,-0.034499336,0.29920128,0.50644445,0.41346702,0.41374788,0.09076303
@BoengkoesNetwork,0.03462286,0.2131427,0.9822533,-0.054685775,-0.039489113,0.17329308,0.2000911,0.034480464,0.27169096,-0.03719797,1.0000001,-0.10193673,-0.08284694,-0.031871025,-0.103255235,-0.107384995,-0.018776711,-0.028821032,0.10024649,0.03079559,0.019148713,0.04130281,0.25416228,-0.0868565,-0.045720287,0.078907624,0.07494475,-0.13785772,-0.10272102,-0.05439834,-0.015462058,-0.115473785,0.98520297,0.99275136,0.10102846,0.1315587,-0.0881676,-0.14817688,0.15744491,0.06292814,0.9870789,0.09714883,0.9036567,-0.0061653014,-0.027725698,-0.044601284,-0.09476325,0.9923947,0.008795498,-0.023056857,-0.120092645,0.020450395,0.20977086,-0.12279691,-0.09371321,-0.11874076,0.32351166,-0.13692902,0.16086933,0.061685614,0.09375289,-0.110282585,-0.14879829,0.17054299,-0.05119084,0.2026522,0.08514148,-0.092632905,-0.0011128448,-0.14529258,0.19930436,0.20589808,0.10414155,0.0641623,0.17581251,0.16669586,0.057459533,0.8984997,0.08049175,0.2527804,0.035384692,-0.07536414,0.04181113,-0.083054155,-0.09919512,0.025357619,0.7333485,-0.13002849,-0.0978677,0.21553482,-0.008232921,0.9191443,0.0763037,-0.04813516,0.9898653,0.14512771,-0.06425463,-0.07741745,-0.08195926,-0.092457525
