,kategori,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10
@ArisSportTv,Sports,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@TirtaPengPengPeng,Education,1.0,1.0,1.0,1.0,1.0,0.8333,0.8571,0.75,0.7778,0.7
@amarpdchannel,Animals,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@AfifYulistian,Gaming,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@tvOneNews,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@Sobat_HAPE,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@ybrap,Entertainment,0.0,0.0,0.3333,0.25,0.2,0.1667,0.1429,0.25,0.2222,0.3
@indomusikgram,Music,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@GarasiDrift,Automotive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@tanboykun,Food,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
--- AVERAGE ---,AVERAGE,0.8,0.8,0.8333,0.825,0.82,0.8,0.8,0.8,0.7222,0.66
